"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
9.884,10.172,9.308,8.156,8.828,7.1,7.004,7.004,6.812,6.428,9.884,11.708,11.324,9.98,8.348,6.812,7.868,6.62,9.884,10.172,9.308,9.02,7.196,7.004,6.62,6.524,6.236,6.524,9.212,10.748,10.46,10.172,9.788,7.388,7.964,11.228,9.884,8.924,7.292,6.428,8.348,9.98,11.516,9.788,9.596,7.196,6.524,8.828,11.42,10.364,5.948,6.428,10.364,11.132,9.596,9.5,8.348,6.524,6.524,9.116
10.268,10.268,7.388,7.868,9.884,9.884,7.58,6.236,8.348,11.516,12.668,11.324,11.228,6.332,6.14,11.804,10.748,7.676,8.348,8.732,9.404,8.156,8.156,7.676,6.332,7.388,7.388,8.252,10.844,11.42,9.884,9.98,10.076,10.364,8.444,8.444,8.252,7.388,6.332,7.292,6.62,6.428,9.308,9.404,7.868,6.044,7.868,10.844,10.268,6.908,6.332,10.268,11.612,11.516,12.86,8.252,8.444,7.004,7.196,7.484
9.5,10.172,11.228,9.98,7.292,6.332,8.156,9.98,9.98,9.884,9.884,9.308,8.924,9.788,11.42,10.076,7.292,7.292,7.004,8.444,10.076,11.804,10.364,7.388,7.868,8.828,8.636,9.788,9.596,9.788,9.884,7.004,6.428,6.716,8.924,11.612,12.476,11.804,9.5,11.612,10.652,9.5,7.772,9.788,11.42,10.556,10.076,10.268,9.98,9.98,7.772,7.388,11.324,11.324,9.404,7.292,6.332,9.98,11.324,9.98
8.924,8.924,8.54,10.268,11.132,10.364,9.116,8.444,8.348,8.156,7.964,10.748,10.748,9.788,7.868,6.14,6.236,6.428,7.1,6.524,6.524,7.868,11.516,10.46,9.212,8.444,8.252,9.5,9.404,7.1,6.716,9.212,10.364,9.884,7.772,6.428,8.156,10.172,10.172,9.5,8.828,6.716,7.1,6.62,9.98,9.884,9.884,7.484,7.964,8.06,8.54,7.58,6.428,9.596,11.516,11.036,10.556,9.788,7.964,6.236
9.884,10.364,9.212,7.388,8.348,9.884,8.924,6.62,7.196,7.484,10.076,10.076,9.98,8.348,8.156,7.196,9.596,9.788,11.42,9.884,9.98,8.156,7.484,9.884,11.228,9.884,9.884,10.268,10.94,11.132,10.268,8.924,9.596,11.324,10.076,9.5,7.58,7.388,10.268,9.884,10.46,8.636,6.716,8.06,7.1,10.076,9.884,7.772,7.004,9.116,8.06,6.812,13.628,14.972,10.652,6.044,6.332,9.404,11.324,11.228
9.884,8.252,6.044,6.332,8.924,7.388,7.292,10.076,11.132,11.324,9.596,6.044,6.236,7.868,6.812,10.172,10.748,9.788,8.444,6.716,6.524,6.524,7.868,7.676,7.964,9.404,11.804,11.036,11.228,10.46,9.116,10.076,9.98,8.636,7.292,7.196,9.404,11.804,10.652,6.524,6.044,9.884,13.628,10.076,9.5,7.196,7.004,9.788,8.828,7.484,9.884,10.076,7.004,6.236,6.044,7.388,7.292,8.156,10.46,11.804
9.884,11.228,7.58,7.196,9.884,11.132,10.076,6.716,5.66,6.62,6.524,6.428,6.236,7.196,7.196,9.116,11.804,11.132,7.292,7.964,9.884,11.42,11.516,8.54,6.332,6.428,7.1,10.652,11.42,9.308,7.004,8.156,9.308,11.324,10.268,6.716,6.044,6.332,9.5,9.5,9.596,9.5,9.212,9.692,9.788,9.884,10.076,9.884,7.964,7.1,7.292,7.964,10.172,14.684,12.476,10.748,9.5,10.076,10.268,10.268
7.772,7.964,7.004,6.044,9.884,10.94,10.268,9.596,6.428,6.332,7.388,7.58,8.636,10.172,10.172,7.772,7.004,9.5,11.516,10.748,7.196,6.908,10.46,10.172,9.788,9.884,10.076,7.868,7.964,9.404,9.884,8.924,8.444,8.348,7.388,7.292,9.308,11.804,11.132,10.364,7.004,6.044,6.524,8.156,7.868,6.524,11.612,10.268,9.404,9.212,9.884,9.788,6.908,6.332,10.172,9.5,10.172,10.652,11.612,8.828
8.732,9.308,8.444,6.62,7.388,9.5,11.42,10.364,9.308,10.364,9.404,6.62,7.004,9.212,9.884,7.58,7.58,9.884,10.748,9.404,7.868,7.484,14.972,9.98,7.196,6.14,9.98,11.036,9.884,9.404,9.404,8.156,8.06,10.172,11.516,8.06,6.332,6.812,6.908,10.268,10.076,6.812,6.236,9.98,9.5,7.1,7.004,9.596,11.132,8.348,8.252,7.772,7.868,9.212,10.748,9.884,9.212,6.428,6.428,6.332
10.076,9.212,6.62,6.62,9.884,9.884,7.964,8.156,8.348,9.308,7.388,7.196,8.348,8.252,8.252,7.196,7.004,6.524,6.524,6.62,9.884,11.036,9.692,8.06,7.004,6.908,9.884,11.42,10.076,6.62,6.62,8.252,11.132,10.556,8.924,9.212,9.884,8.54,6.236,7.292,11.228,8.828,6.14,7.292,8.636,9.884,9.788,6.812,7.292,10.844,11.516,7.772,7.868,7.868,11.036,10.748,9.5,9.98,10.172,9.98
